unit	cone	cross	a	b	c
F1	16	A	3.810542663	16.70155748	2.99176068
F1	17	A	4.257406019	20.5975657	4.256081801
F1	18	G	3.506876135	16.994377	3.32222
F1	19	A	3.961870261	19.28207713	3.01207574
F1	20	A	3.368914078	18.36540624	1.5123035
F1	21	A	4.217350124	18.89363746	3.95813675
F1	22	A	3.372317285	15.62160863	2.318223191
F1	23	G	3.594024766	16.19463358	2.718847179
F1	24	G	4.076118466	19.2398799	3.749184823
F1	25	A	4.001520139	18.2205351	3.793401031
F1	26	G	3.987020567	20.97704785	2.526323056
F1	27	G	4.150832827	22.80745519	2.774325007
F1	28	G	3.78867595	19.07259678	3.0886503
F1	29	A	3.594024766	16.19463358	2.718847179
F1	30	G	3.483741569	18.35028102	2.542586588
F1	31	G	3.368914078	18.36540624	1.5123035
F1	32	A	3.937069527	19.1654399	3.969471512
F1	33	G	3.894630494	16.90696867	3.491619427
F1	34	A	3.564453693	19.77500236	2.828909927
F1	35	G	4.028774095	16.81920957	4.492403503
F1	36	G	3.594024766	16.19463358	2.718847179
F1	37	G	3.78867595	19.07259678	3.0886503
F1	38	G	4.001520139	18.2205351	3.793401031
F1	39	A	3.59490847	18.72086262	1.923317303
F1	40	A	3.760100952	17.23293645	5.092672445
F1	41	A	3.594024766	16.19463358	2.718847179
F1	42	G	3.908771324	16.01416987	4.058579197
F1	43	G	3.89910135	17.16104209	2.348330317
F1	44	A	3.372317285	15.62160863	2.318223191
F1	45	G	3.372317285	15.62160863	2.318223191
F1	46	A	3.825541233	19.11852695	2.216307541
F1	47	A	3.810542663	16.70155748	2.99176068
F1	48	A	3.823527216	17.94822506	3.844998605
F1	49	G	3.701415767	16.19274386	3.572205399
F1	50	G	4.346679645	19.52583174	5.223287849
F1	51	A	3.810542663	16.70155748	2.99176068
F1	52	A	3.368914078	18.36540624	1.5123035
F1	53	A	3.244018106	18.94184505	2.251883605
F1	54	G	3.956377459	16.87107793	2.927204399
F1	55	G	3.622446579	15.67418654	3.192776073
F1	56	A	3.84283876	16.23858086	3.45743604
F1	57	A	3.810542663	16.70155748	2.99176068
F1	58	G	4.001520139	18.2205351	3.793401031
F1	59	G	3.964883843	18.34319416	4.535027302
F1	60	G	3.84283876	16.23858086	3.45743604
F1	61	A	4.161234351	19.03145554	4.404482763
F1	62	G	3.823527216	17.94822506	3.844998605
F1	63	G	3.594024766	16.19463358	2.718847179
F1	64	A	3.594024766	16.19463358	2.718847179
F1	65	A	4.001520139	18.2205351	3.793401031
F1	66	G	4.076118466	19.2398799	3.749184823
F1	67	G	3.467871326	16.90701727	2.807791504
F1	68	A	3.964883843	18.34319416	4.535027302
F1	69	G	3.850990983	16.47899901	4.535536618
F1	70	G	4.020838177	16.10096254	4.823772759
F1	71	G	3.368914078	18.36540624	1.5123035
F1	72	A	3.730792661	16.91137431	2.285514056
F1	73	G	3.597621022	17.96133033	2.276814055
F1	74	A	3.937069527	19.1654399	3.969471512
F1	75	G	4.852870326	23.62354621	6.483119392
F1	76	A	4.001520139	18.2205351	3.793401031
F1	77	A	3.69644744	15.47343076	3.877971028
F1	78	A	3.594024766	16.19463358	2.718847179
F1	79	A	3.525492649	16.5003746	1.98774323
