unit	cone	cross	a	b	c
O1	77	G	3.732187568	17.0469722	1.921783145
O1	78	A	3.934004489	20.82489675	3.172779738
O1	79	A	4.11219332	23.53166364	2.295207673
O1	80	A	4.062785719	23.85042336	1.778596246
O1	81	A	4.105839859	23.03746783	1.873950291
O1	82	A	3.695218352	20.30041872	2.962864912
O1	83	G	3.971562154	21.64039618	3.007202284
O1	84	G	3.955715705	18.68519994	2.204305238
O1	85	G	4.052435993	20.306059	2.454246
O1	86	G	4.029404926	20.14501822	3.226392183
O1	87	G	3.980486624	21.619675	2.150063529
O1	88	A	3.900923139	26.07756048	1.925808076
O1	89	G	3.971562154	21.64039618	3.007202284
O1	90	A	4.029404926	20.14501822	3.226392183
O1	91	G	4.022519736	21.268261	1.743423638
O1	92	G	4.042114502	21.4335369	2.650359407
O1	93	G	4.029364614	22.55269497	2.029340982
O1	94	A	4.017670918	20.66736548	2.871193235
O1	95	G	3.941945818	19.19542529	1.846050054
O1	96	G	4.022519736	21.268261	1.743423638
