unit	cone	cross	drought_b	survival_time	biomass	log_surv	sqrt_surv	log_biomass	sqrt_biomass
A1	NA	G	14.04272	21	0.0791	1.322219295	4.582575695	-1.101823517	0.281247222
A1	NA	G	16.23908	29	0.1058	1.462397998	5.385164807	-0.975514332	0.325269119
A1	NA	G	20.9497	28	0.0596	1.447158031	5.291502622	-1.22475374	0.244131112
A1	NA	G	18.82126	34	0.0613	1.531478917	5.830951895	-1.212539525	0.247588368
A1	NA	G	12.60872	21	0.1509	1.322219295	4.582575695	-0.82131076	0.388458492
A1	NA	G	12.12091	26	0.1847	1.414973348	5.099019514	-0.733533105	0.429767379
A1	NA	G	22.37317	28	0.0318	1.447158031	5.291502622	-1.49757288	0.178325545
A1	NA	G	12.02788	26	0.1608	1.414973348	5.099019514	-0.793713956	0.400998753
A1	NA	G	13.30515	28	0.1645	1.447158031	5.291502622	-0.783834098	0.405585996
A1	NA	G	10.44282	21	0.188	1.322219295	4.582575695	-0.725842151	0.433589668
A1	NA	G	16.01185	27	0.0852	1.431363764	5.196152423	-1.069560405	0.29189039
A1	NA	G	18.81694	28	0.055	1.447158031	5.291502622	-1.259637311	0.234520788
A1	NA	G	17.76972	28	0.0748	1.447158031	5.291502622	-1.126098402	0.273495887
A1	NA	G	10.40582	20	0.2503	1.301029996	4.472135955	-0.60153915	0.50029991
A1	NA	G	11.15134	20	0.1495	1.301029996	4.472135955	-0.825358807	0.386652299
A1	NA	G	14.98399	28	0.1101	1.447158031	5.291502622	-0.958212681	0.3318132
A1	NA	G	11.05015	22	0.1545	1.342422681	4.69041576	-0.811071516	0.39306488
A1	NA	G	16.47291	21	0.0647	1.322219295	4.582575695	-1.189095719	0.254361947
A1	NA	G	12.60872	21	0.1209	1.322219295	4.582575695	-0.917573699	0.347706773
A1	NA	G	13.21372	21	0.1222	1.322219295	4.582575695	-0.912928794	0.349571166
A1	NA	G	15.27499	21	0.0916	1.322219295	4.582575695	-1.038104526	0.302654919
A1	NA	G	13.97538	21	0.079	1.322219295	4.582575695	-1.102372909	0.281069386
A1	NA	G	16.10292	29	0.0795	1.462397998	5.385164807	-1.099632871	0.281957444
A1	NA	G	13.21372	21	0.0957	1.322219295	4.582575695	-1.019088062	0.309354166
A1	NA	G	15.21639	21	0.0749	1.322219295	4.582575695	-1.125518182	0.273678644
A1	NA	G	12.60872	21	0.0954	1.322219295	4.582575695	-1.020451625	0.308868904
A2	NA	A	NA	NA	NA	NA	NA	NA	NA
A2	NA	A	18.80792	28	0.0896	1.447158031	5.291502622	-1.04769199	0.299332591
A2	NA	A	18.80792	28	0.0717	1.447158031	5.291502622	-1.144480844	0.267768557
A2	NA	A	15.78282	28	0.1394	1.447158031	5.291502622	-0.855737226	0.373363094
A2	NA	A	26.87942	34	0.0188	1.531478917	5.830951895	-1.725842151	0.137113092
A2	NA	A	13.30515	28	0.2415	1.447158031	5.291502622	-0.617082865	0.491426495
A2	NA	A	18.81694	28	0.051	1.447158031	5.291502622	-1.292429824	0.225831796
A2	NA	A	16.46153	28	0.1116	1.447158031	5.291502622	-0.952335805	0.334065862
A2	NA	A	20.75335	35	0.0076	1.544068044	5.916079783	-2.119186408	0.087177979
A2	NA	A	14.98399	28	0.1663	1.447158031	5.291502622	-0.779107751	0.40779897
A2	NA	A	13.97538	21	0.1082	1.322219295	4.582575695	-0.965772739	0.328937684
A2	NA	A	13.30515	28	0.153	1.447158031	5.291502622	-0.815308569	0.391152144
A2	NA	A	15.56639	26	0.1234	1.414973348	5.099019514	-0.90868484	0.351283361
A2	NA	A	22.19074	28	0.0479	1.447158031	5.291502622	-1.319664487	0.218860686
A2	NA	A	19.02965	28	0.093	1.447158031	5.291502622	-1.031517051	0.304959014
A2	NA	A	21.21607	28	0.0657	1.447158031	5.291502622	-1.18243463	0.256320112
A2	NA	A	21.97063	34	0.0389	1.531478917	5.830951895	-1.410050399	0.197230829
A2	NA	A	13.09231	22	0.1302	1.342422681	4.69041576	-0.885389016	0.360832371
A2	NA	A	19.73097	28	0.1664	1.447158031	5.291502622	-0.778846678	0.407921561
A2	NA	A	23.33032	34	0.0492	1.531478917	5.830951895	-1.308034897	0.22181073
A2	NA	A	25.48077	34	0.0324	1.531478917	5.830951895	-1.48945499	0.18
A2	NA	A	13.9599	22	0.1286	1.342422681	4.69041576	-0.890759031	0.358608422
A2	NA	A	15.24598	28	0.1117	1.447158031	5.291502622	-0.951946827	0.334215499
A2	NA	A	19.5815	28	0.1912	1.447158031	5.291502622	-0.718512112	0.437264222
A2	NA	A	18.05296	28	0.071	1.447158031	5.291502622	-1.148741651	0.266458252
A2	NA	A	25.48077	34	0.0282	1.531478917	5.830951895	-1.549750892	0.167928556
A2	NA	A	19.33143	35	0.0691	1.544068044	5.916079783	-1.160521953	0.262868789
A2	NA	A	21.26221	34	0.0589	1.531478917	5.830951895	-1.229884705	0.242693222
A2	NA	A	13.97538	21	0.086	1.322219295	4.582575695	-1.065501549	0.293257566
A2	NA	A	23.58379	35	0.0503	1.544068044	5.916079783	-1.298432015	0.224276615
A2	NA	A	18.80792	28	0.0766	1.447158031	5.291502622	-1.11577123	0.27676705
A2	NA	A	13.21372	21	0.1325	1.322219295	4.582575695	-0.877784122	0.364005494
A2	NA	A	16.04144	28	0.0822	1.447158031	5.291502622	-1.085128182	0.286705424
A2	NA	A	21.97063	34	0.0475	1.531478917	5.830951895	-1.32330639	0.217944947
A2	NA	A	18.95559	27	0.0538	1.431363764	5.196152423	-1.269217724	0.23194827
A2	NA	A	19.02965	28	0.0685	1.447158031	5.291502622	-1.164309429	0.261725047
A2	NA	A	11.20257	28	0.2022	1.447158031	5.291502622	-0.694218849	0.449666543
A2	NA	A	15.68337	28	0.0833	1.447158031	5.291502622	-1.079354999	0.288617394
A2	NA	A	17.22751	28	0.1045	1.447158031	5.291502622	-0.98088371	0.323264598
A2	NA	A	13.54928	27	0.1903	1.431363764	5.196152423	-0.720561212	0.436233882
A2	NA	A	16.31069	28	0.0843	1.447158031	5.291502622	-1.074172425	0.290344623
A2	NA	A	18.80792	28	0.0728	1.447158031	5.291502622	-1.137868621	0.269814751
A2	NA	A	20.32236	34	0.0722	1.531478917	5.830951895	-1.141462802	0.268700577
A2	NA	A	NA	NA	NA	NA	NA	NA	NA
A2	NA	A	NA	NA	NA	NA	NA	NA	NA
A2	NA	A	16.91647	28	0.0522	1.447158031	5.291502622	-1.282329497	0.228473193
A2	NA	A	21.32111	28	0.0666	1.447158031	5.291502622	-1.176525771	0.258069758
A2	NA	A	13.21372	21	0.1121	1.322219295	4.582575695	-0.950394387	0.334813381
A2	NA	G	10.44282	21	0.1831	1.322219295	4.582575695	-0.737311656	0.427901858
A2	NA	G	15.56585	35	0.0968	1.544068044	5.916079783	-1.014124643	0.311126984
A2	NA	G	15.84588	26	0.1461	1.414973348	5.099019514	-0.835349784	0.382230297
A2	NA	G	24.41446	34	0.0615	1.531478917	5.830951895	-1.211124884	0.247991935
A2	NA	G	NA	NA	NA	NA	NA	NA	NA
A2	NA	G	22.40026	34	0.1165	1.531478917	5.830951895	-0.933674075	0.341320963
A2	NA	G	19.31801	28	0.056	1.447158031	5.291502622	-1.251811973	0.236643191
A2	NA	G	12.09228	21	0.237	1.322219295	4.582575695	-0.625251654	0.486826458
A2	NA	G	16.19307	28	0.0766	1.447158031	5.291502622	-1.11577123	0.27676705
A2	NA	G	21.32111	28	0.0935	1.447158031	5.291502622	-1.029188389	0.305777697
A2	NA	G	25.48077	34	0.0533	1.531478917	5.830951895	-1.273272791	0.230867928
A2	NA	G	18.80792	28	0.143	1.447158031	5.291502622	-0.844663963	0.378153408
A2	NA	G	21.80454	34	0.0843	1.531478917	5.830951895	-1.074172425	0.290344623
A2	NA	G	12.60872	21	0.1565	1.322219295	4.582575695	-0.805485658	0.395600809
A2	NA	G	18.05296	28	0.0613	1.447158031	5.291502622	-1.212539525	0.247588368
A2	NA	G	20.73658	28	0.0534	1.447158031	5.291502622	-1.272458743	0.2310844
A2	NA	G	18.80792	28	0.0839	1.447158031	5.291502622	-1.076238039	0.289654967
A2	NA	G	18.80792	28	0.0787	1.447158031	5.291502622	-1.104025268	0.280535203
A2	NA	G	22.19074	28	0.0519	1.447158031	5.291502622	-1.284832642	0.227815715
A2	NA	G	18.80792	28	0.0953	1.447158031	5.291502622	-1.020907099	0.308706981
A2	NA	G	12.16764	28	0.2063	1.447158031	5.291502622	-0.685500772	0.454202598
A2	NA	G	17.22751	28	0.1047	1.447158031	5.291502622	-0.980053318	0.323573794
A2	NA	G	30.96015	35	0.0293	1.544068044	5.916079783	-1.53313238	0.171172428
A2	NA	G	16.74136	27	0.0668	1.431363764	5.196152423	-1.175223538	0.25845696
A2	NA	G	18.88941	28	0.0478	1.447158031	5.291502622	-1.320572103	0.218632111
A2	NA	G	18.43308	28	0.0987	1.447158031	5.291502622	-1.005682847	0.314165561
A2	NA	G	16.01185	27	0.0627	1.431363764	5.196152423	-1.202732459	0.250399681
A2	NA	G	15.24598	28	0.0875	1.447158031	5.291502622	-1.057991947	0.295803989
A2	NA	G	13.54928	27	0.0865	1.431363764	5.196152423	-1.062983893	0.294108823
A2	NA	G	13.9709	26	0.1083	1.414973348	5.099019514	-0.965371543	0.329089653
A2	NA	G	15.59159	21	0.087	1.322219295	4.582575695	-1.060480747	0.294957624
A2	NA	G	15.68337	28	0.0815	1.447158031	5.291502622	-1.088842391	0.285482048
A2	NA	G	13.97538	21	0.0993	1.322219295	4.582575695	-1.003050752	0.315119025
A2	NA	G	18.05296	28	0.049	1.447158031	5.291502622	-1.30980392	0.221359436
A2	NA	G	19.68729	28	0.0673	1.447158031	5.291502622	-1.171984936	0.259422435
A2	NA	G	23.21065	29	0.0323	1.462397998	5.385164807	-1.490797478	0.179722008
A2	NA	G	18.577	29	0.0881	1.462397998	5.385164807	-1.055024092	0.296816442
A2	NA	G	15.24598	28	0.1109	1.447158031	5.291502622	-0.955068454	0.333016516
A2	NA	G	12.20349	26	0.218	1.414973348	5.099019514	-0.661543506	0.466904701
A2	NA	G	22.51872	28	0.0454	1.447158031	5.291502622	-1.342944147	0.213072758
A2	NA	G	17.62532	28	0.1118	1.447158031	5.291502622	-0.951558196	0.33436507
A2	NA	G	16.01352	21	0.071	1.322219295	4.582575695	-1.148741651	0.266458252
A2	NA	G	NA	NA	NA	NA	NA	NA	NA
A2	NA	G	15.37189	21	0.0683	1.322219295	4.582575695	-1.165579296	0.261342687
A2	NA	G	15.24598	28	0.1312	1.447158031	5.291502622	-0.882066165	0.362215406
A2	NA	G	13.54928	27	0.1199	1.431363764	5.196152423	-0.921180817	0.346265794
A2	NA	G	18.81694	28	0.0483	1.447158031	5.291502622	-1.316052869	0.21977261
A2	NA	G	17.62895	27	0.055	1.431363764	5.196152423	-1.259637311	0.234520788
C1	NA	A	21.21607	28	0.1039	1.447158031	5.291502622	-0.983384452	0.322335229
C1	NA	A	16.91647	28	0.0861	1.447158031	5.291502622	-1.064996849	0.293428015
C1	NA	A	18.35016	27	0.052	1.431363764	5.196152423	-1.283996656	0.228035085
