genet	cross	days_to_germinate	growth_rate_day	drought_b	survival_time	biomass
A1	A	16	0.071168091	15.32586	27	0.103
A1	A	20	0.032311429	23.39715	35	0.0572
A1	A	14	0.079903077	15.59117	27	0.0858
A1	A	12	0.004731667	24.23828	34	0.1036
A1	A	20	0.014349429	21.97063	34	0.0323
A1	A	10	0.122056059	15.32586	27	0.1118
A1	A	12	0.147692133	11.68904	27	0.1986
A1	A	11	0.133157813	11.18782	21	0.1769
A1	A	17	0.0356549	14.98399	28	0.0728
A1	A	13	0.097716071	25.35146	34	0.0655
A1	A	12	0.118224467	15.32586	27	0.146
A1	A	16	0.063014182	16.46153	28	0.0949
A1	A	14	0.007466462	33.24286	35	0.011
A1	A	20	0.046116143	13.21372	21	0.0861
A1	A	16	0.060023091	13.97538	21	0.0968
A1	A	11	0.118861	12.60872	22	0.1548
A1	A	13	0.093617	12.4887	22	0.1559
A1	A	15	0.028490167	18.577	28	0.0489
A1	A	12	0.1261144	10.43747	27	0.1967
A1	A	14	0.077729692	16.01185	27	0.0965
A1	A	17	0.0364656	13.21372	21	0.0903
A1	A	22	0.0143196	NA	NA	0
A1	A	21	0.008513167	25.16965	35	0.0392
A1	A	10	0.146861353	14.12404	27	0.1817
A1	A	23	0.0111665	17.88923	34	0.0651
A1	A	20	0.041069429	12.60872	21	0.1004
A1	A	20	0.033707143	16.48412	27	0.0907
A1	A	12	0.0976294	12.07882	27	0.166
A1	A	12	0.112621867	12.60872	21	0.1159
A1	A	21	0.017778333	15.68337	28	0.0742
A1	A	20	0.046404571	17.16875	27	0.0696
A1	A	13	0.079217214	16.86905	29	0.0936
A1	A	17	0.0240157	14.21951	30	0.0992
A1	A	13	0.056911214	13.97538	21	0.0999
A1	A	12	0.139980733	16.12118	27	0.1468
A1	A	11	0.114354688	16.64906	28	0.1713
A1	A	20	0.040337857	25.16965	35	0.0466
A1	A	20	0.027115429	17.5501	28	0.0595
A1	A	12	0.0651584	16.01185	27	0.1011
A1	A	20	0.029176143	25.48077	34	0.0327
A1	A	24	0.014766667	18.55911	34	0.0531
A1	A	16	0.049675182	16.48412	27	0.0796
A1	A	15	0.024551083	NA	9	0.0094
A1	A	16	0.037456273	18.80792	28	0.0603
A1	A	22	0.021588	25.66718	35	0.0306
A1	A	21	0.025633167	21.97063	34	0.0364
A1	A	20	0.031713429	17.22751	28	0.0665
A1	A	17	0.0382581	18.80792	28	0.0707
A1	G	20	0.033969857	19.02965	28	0.0395
A1	G	23	0.01591875	18.05296	28	0.0498
A1	G	24	0.009820333	14.00042	22	0.1299
A1	G	13	0.079134071	14.98399	28	0.1381
A1	G	16	0.051249545	15.86659	27	0.1296
A1	G	15	0.063282833	17.62532	28	0.125
A1	G	20	0.031228143	16.91647	28	0.0716
A1	G	15	0.0588485	17.62895	27	0.0733
A1	G	12	0.096704933	10.40041	22	0.2158
A1	G	12	0.0974112	11.94112	27	0.1878
A1	G	13	0.098615571	12.56593	21	0.1398
A1	G	24	0.017252333	25.16965	35	0.0474
A1	G	10	0.152477471	10.44282	21	0.1823
A1	G	20	0.021245	21.80454	34	0.0432
A1	G	14	0.048933538	15.32586	27	0.1077
A1	G	13	0.082431714	13.30515	28	0.1329
A1	G	17	0.0339298	18.21907	30	0.0959
A1	G	20	0.028817857	14.98399	28	0.0712
A1	G	13	0.109445214	12.09228	21	0.189
A1	G	17	0.021512	17.62532	28	0.074
A1	G	15	0.080889833	10.96408	18	0.1482
A1	G	17	0.0534861	26.55649	35	0.065
A1	G	20	0.035067429	14.04272	21	0.0791
A1	G	15	0.060451917	16.23908	29	0.1058
A1	G	20	0.038711857	20.9497	28	0.0596
A1	G	23	0.01475225	18.82126	34	0.0613
A1	G	16	0.068056818	12.60872	21	0.1509
A1	G	11	0.155680188	12.12091	26	0.1847
A1	G	20	0.029645857	22.37317	28	0.0318
A1	G	13	0.134181143	12.02788	26	0.1608
A1	G	13	0.097649571	13.30515	28	0.1645
A1	G	12	0.122404533	10.44282	21	0.188
A1	G	20	0.043445286	16.01185	27	0.0852
A1	G	23	0.017754	18.81694	28	0.055
A1	G	20	0.032098714	17.76972	28	0.0748
A1	G	11	0.161755938	10.40582	20	0.2503
A1	G	13	0.101200643	11.15134	20	0.1495
A1	G	13	0.061112143	14.98399	28	0.1101
A1	G	13	0.114564	11.05015	22	0.1545
A1	G	16	0.059629455	16.47291	21	0.0647
A1	G	15	0.091923833	12.60872	21	0.1209
A1	G	13	0.114750857	13.21372	21	0.1222
A1	G	16	0.057108364	15.27499	21	0.0916
A1	G	17	0.0562465	13.97538	21	0.079
A1	G	20	0.031090857	16.10292	29	0.0795
A1	G	16	0.041605091	13.21372	21	0.0957
A1	G	20	0.041496571	15.21639	21	0.0749
A1	G	20	0.055344714	12.60872	21	0.0954
