cone	cross	0	2	5	7	9	12	14	15	16	18	19	20	21	22	26	27	28	29	30	34	35
41	A	0	0	0	0	0	1	1	2	2	2	3	3	3	3	3	3	4	4	4	4	4
16	A	0	0	0	0	0	0	0	1	1	1	2	2	2	2	3	3	4	4	4	4	4
10	A	0	0	0	0	0	1	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4
33	A	0	0	0	0	0	0	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4
11	A	0	0	0	0	0	1	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4
47	A	0	0	0	0	0	0	1	1	1	1	2	2	2	2	3	3	4	4	4	4	4
39	A	0	0	0	0	0	0	1	2	2	2	2	3	3	3	3	3	4	4	4	4	4
35	A	0	0	0	0	0	0	0	1	1	2	2	2	3	3	3	4	4	4	4	4	4
48	A	0	0	0	0	0	1	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4
31	A	0	0	0	0	0	0	1	1	1	2	2	2	3	3	3	3	4	4	4	4	4
25	A	0	0	0	0	0	0	1	1	1	2	2	3	3	3	3	3	4	4	4	4	4
18	A	0	0	0	0	0	1	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4
6	A	0	0	0	0	0	1	2	3	3	3	3	3	3	3	3	3	4	4	4	4	4
36	A	0	0	0	0	0	0	0	0	0	2	2	2	3	3	3	3	4	4	4	4	4
3	A	0	0	0	0	0	0	1	1	1	2	2	2	3	3	3	3	4	4	4	4	4
4	A	0	0	0	0	0	1	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4
37	A	0	0	0	1	1	2	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4
21	A	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	3	3	3	3	4	4
26	A	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	3	3	3	3	4	4
27	A	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2
20	A	0	0	0	0	0	0	1	1	1	1	1	1	2	2	3	3	3	3	3	4	4
32	A	0	0	0	0	0	1	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4
29	A	0	0	0	0	0	1	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4
38	A	0	0	0	0	0	0	1	2	2	3	3	3	3	3	3	3	4	4	4	4	4
46	A	0	0	0	0	0	0	1	1	2	2	3	3	3	3	3	3	4	4	4	4	4
9	A	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2
