unit	cross	days_to_germinate	growth_rate_day	drought_b	survival_time	biomass	sqrt_germ	log_germ	sqrt_growth	log_growth	sqrt_b	log_b	sqrt_surv	log_surv	sqrt_bio	log_bio
A1	A	13	0.079217214	16.86905	29	0.0936	3.605551275	1.113943352	0.281455528	-1.101180435	4.107194907	1.227090625	5.385164807	1.462397998	0.305941171	-1.028724151
A1	A	17	0.0240157	14.21951	30	0.0992	4.123105626	1.230448921	0.154969997	-1.61950475	3.770876556	1.152884631	5.477225575	1.477121255	0.314960315	-1.003488328
A1	A	13	0.056911214	13.97538	21	0.0999	3.605551275	1.113943352	0.238560713	-1.24480215	3.738365953	1.145363625	4.582575695	1.322219295	0.316069613	-1.000434512
A1	A	12	0.139980733	16.12118	27	0.1468	3.464101615	1.079181246	0.374139991	-0.853931737	4.015118927	1.207396827	5.196152423	1.431363764	0.383144881	-0.833273944
A1	A	11	0.114354688	16.64906	28	0.1713	3.31662479	1.041392685	0.3381637	-0.941746027	4.080325967	1.221389718	5.291502622	1.447158031	0.413884042	-0.766242637
A1	A	20	0.040337857	25.16965	35	0.0466	4.472135955	1.301029996	0.200842866	-1.394287178	5.016936316	1.400877176	5.916079783	1.544068044	0.215870331	-1.331614083
A1	A	20	0.027115429	17.5501	28	0.0595	4.472135955	1.301029996	0.164667632	-1.56678352	4.189283948	1.244279595	5.291502622	1.447158031	0.243926218	-1.225483034
A1	A	12	0.0651584	16.01185	27	0.1011	3.464101615	1.079181246	0.255261435	-1.186029589	4.001480976	1.204441513	5.196152423	1.431363764	0.317962262	-0.995248844
A1	A	20	0.029176143	25.48077	34	0.0327	4.472135955	1.301029996	0.170810254	-1.534972121	5.047848056	1.406212548	5.830951895	1.531478917	0.180831413	-1.485452247
A1	A	24	0.014766667	18.55911	34	0.0531	4.898979486	1.380211242	0.121518176	-1.830717519	4.308028551	1.268557146	5.830951895	1.531478917	0.230434372	-1.274905479
A1	A	16	0.049675182	16.48412	27	0.0796	4	1.204119983	0.222879299	-1.303860533	4.060064039	1.217065767	5.196152423	1.431363764	0.28213472	-1.099086932
A1	A	15	0.024551083	NA	NA	NA	3.872983346	1.176091259	0.156687852	-1.609929345	NA	NA	NA	NA	NA	NA
A1	A	16	0.037456273	18.80792	28	0.0603	4	1.204119983	0.193536232	-1.426475438	4.336809887	1.274340769	5.291502622	1.447158031	0.245560583	-1.219682688
A1	A	22	0.021588	25.66718	35	0.0306	4.69041576	1.342422681	0.146928554	-1.665787591	5.066278713	1.409378156	5.916079783	1.544068044	0.174928557	-1.514278574
A1	A	21	0.025633167	21.97063	34	0.0364	4.582575695	1.322219295	0.160103613	-1.591197733	4.687283862	1.34184251	5.830951895	1.531478917	0.19078784	-1.438898616
A1	A	20	0.031713429	17.22751	28	0.0665	4.472135955	1.301029996	0.178082647	-1.498756798	4.150603571	1.236222511	5.291502622	1.447158031	0.257875939	-1.177178355
A1	A	17	0.0382581	18.80792	28	0.0707	4.123105626	1.230448921	0.195596779	-1.417276602	4.336809887	1.274340769	5.291502622	1.447158031	0.265894716	-1.150580586
A1	G	20	0.033969857	19.02965	28	0.0395	4.472135955	1.301029996	0.184309134	-1.468906281	4.362298706	1.279430801	5.291502622	1.447158031	0.198746069	-1.403402904
A1	G	23	0.01591875	18.05296	28	0.0498	4.795831523	1.361727836	0.126169529	-1.798091038	4.248877499	1.25654842	5.291502622	1.447158031	0.223159136	-1.302770657
A1	G	24	0.009820333	14.00042	22	0.1299	4.898979486	1.380211242	0.099097593	-2.007873785	3.741713511	1.146141064	4.69041576	1.342422681	0.360416426	-0.886390849
A1	G	13	0.079134071	14.98399	28	0.1381	3.605551275	1.113943352	0.281307787	-1.101636492	3.870915912	1.175627475	5.291502622	1.447158031	0.371618084	-0.859806321
A1	G	16	0.051249545	15.86659	27	0.1296	4	1.204119983	0.226383624	-1.290309986	3.983288842	1.2004836	5.196152423	1.431363764	0.36	-0.887394998
A1	G	15	0.063282833	17.62532	28	0.125	3.872983346	1.176091259	0.251560794	-1.198714087	4.198252017	1.246137011	5.291502622	1.447158031	0.353553391	-0.903089987
A1	G	20	0.031228143	16.91647	28	0.0716	4.472135955	1.301029996	0.176714864	-1.505453841	4.112963652	1.228309743	5.291502622	1.447158031	0.267581763	-1.145086978
A1	G	15	0.0588485	17.62895	27	0.0733	3.872983346	1.176091259	0.242587098	-1.230264602	4.198684318	1.246226446	5.196152423	1.431363764	0.270739727	-1.134896025
A1	G	12	0.096704933	10.40041	22	0.2158	3.464101615	1.079181246	0.310974168	-1.014551372	3.224966666	1.01705046	4.69041576	1.342422681	0.464542786	-0.66594856
A1	G	12	0.0974112	11.94112	27	0.1878	3.464101615	1.079181246	0.312107674	-1.011391107	3.455592569	1.077045063	5.196152423	1.431363764	0.433358974	-0.726304412
A1	G	13	0.098615571	12.56593	21	0.1398	3.605551275	1.113943352	0.314031162	-1.006054506	3.544845554	1.099194636	4.582575695	1.322219295	0.373898382	-0.854492829
A1	G	24	0.017252333	25.16965	35	0.0474	4.898979486	1.380211242	0.131348137	-1.763152168	5.016936316	1.400877176	5.916079783	1.544068044	0.217715411	-1.324221658
A1	G	10	0.152477471	10.44282	21	0.1823	3.16227766	1	0.390483637	-0.81679432	3.231535239	1.018817792	4.582575695	1.322219295	0.426966041	-0.739213331
A1	G	20	0.021245	21.80454	34	0.0432	4.472135955	1.301029996	0.145756647	-1.672743265	4.669533167	1.338546929	5.830951895	1.531478917	0.207846097	-1.364516253
A1	G	14	0.048933538	15.32586	27	0.1077	3.741657387	1.146128036	0.221209263	-1.310393383	3.914825667	1.185424854	5.196152423	1.431363764	0.328176782	-0.967784297
A1	G	13	0.082431714	13.30515	28	0.1329	3.605551275	1.113943352	0.287109237	-1.08390567	3.647622513	1.124019775	5.291502622	1.447158031	0.364554523	-0.876475019
A1	G	17	0.0339298	18.21907	30	0.0959	4.123105626	1.230448921	0.184200434	-1.4694187	4.268380255	1.260526204	5.477225575	1.477121255	0.309677251	-1.018181393
A1	G	20	0.028817857	14.98399	28	0.0712	4.472135955	1.301029996	0.169758231	-1.540338318	3.870915912	1.175627475	5.291502622	1.447158031	0.266833281	-1.147520006
A1	G	13	0.109445214	12.09228	21	0.189	3.605551275	1.113943352	0.33082505	-0.960803225	3.477395577	1.082508195	4.582575695	1.322219295	0.434741302	-0.723538196
A1	G	17	0.021512	17.62532	28	0.074	4.123105626	1.230448921	0.146669697	-1.667319211	4.198252017	1.246137011	5.291502622	1.447158031	0.27202941	-1.13076828
A1	G	15	0.080889833	10.96408	18	0.1482	3.872983346	1.176091259	0.28441138	-1.092106061	3.311205219	1.039972196	4.242640687	1.255272505	0.384967531	-0.829151796
A1	G	17	0.0534861	26.55649	35	0.065	4.123105626	1.230448921	0.231270621	-1.271759068	5.153298943	1.424170673	5.916079783	1.544068044	0.254950976	-1.187086643
A1	G	20	0.035067429	14.04272	21	0.0791	4.472135955	1.301029996	0.187262994	-1.455096074	3.747361739	1.147451236	4.582575695	1.322219295	0.281247222	-1.101823517
A1	G	15	0.060451917	16.23908	29	0.1058	3.872983346	1.176091259	0.245869715	-1.218589923	4.029774187	1.210561421	5.385164807	1.462397998	0.325269119	-0.975514332
A1	G	20	0.038711857	20.9497	28	0.0596	4.472135955	1.301029996	0.19675329	-1.412155995	4.577084225	1.321177808	5.291502622	1.447158031	0.244131112	-1.22475374
A1	G	23	0.01475225	18.82126	34	0.0613	4.795831523	1.361727836	0.121458841	-1.831141736	4.338347612	1.274648694	5.830951895	1.531478917	0.247588368	-1.212539525
A1	G	16	0.068056818	12.60872	21	0.1509	4	1.204119983	0.260877017	-1.16712836	3.550875948	1.100671001	4.582575695	1.322219295	0.388458492	-0.82131076
A1	G	11	0.155680188	12.12091	26	0.1847	3.31662479	1.041392685	0.394563288	-0.807766653	3.48150973	1.083535227	5.099019514	1.414973348	0.429767379	-0.733533105
A1	G	20	0.029645857	22.37317	28	0.0318	4.472135955	1.301029996	0.172179723	-1.528035991	4.730028541	1.349727523	5.291502622	1.447158031	0.178325545	-1.49757288
A1	G	13	0.134181143	12.02788	26	0.1608	3.605551275	1.113943352	0.366307443	-0.872308513	3.468123412	1.080189087	5.099019514	1.414973348	0.400998753	-0.793713956
A1	G	13	0.097649571	13.30515	28	0.1645	3.605551275	1.113943352	0.312489313	-1.01032966	3.647622513	1.124019775	5.291502622	1.447158031	0.405585996	-0.783834098
A1	G	12	0.122404533	10.44282	21	0.188	3.464101615	1.079181246	0.349863592	-0.912202499	3.231535239	1.018817792	4.582575695	1.322219295	0.433589668	-0.725842151
A1	G	20	0.043445286	16.01185	27	0.0852	4.472135955	1.301029996	0.208435328	-1.362057339	4.001480976	1.204441513	5.196152423	1.431363764	0.29189039	-1.069560405
A1	G	23	0.017754	18.81694	28	0.055	4.795831523	1.361727836	0.133244137	-1.750703784	4.337849698	1.274549	5.291502622	1.447158031	0.234520788	-1.259637311
A1	G	20	0.032098714	17.76972	28	0.0748	4.472135955	1.301029996	0.17916114	-1.493512367	4.21541457	1.249680585	5.291502622	1.447158031	0.273495887	-1.126098402
A1	G	11	0.161755938	10.40582	20	0.2503	3.31662479	1.041392685	0.402188933	-0.791139768	3.225805326	1.017276309	4.472135955	1.301029996	0.50029991	-0.60153915
A1	G	13	0.101200643	11.15134	20	0.1495	3.605551275	1.113943352	0.318120485	-0.994816728	3.339362215	1.047327057	4.472135955	1.301029996	0.386652299	-0.825358807
A1	G	13	0.061112143	14.98399	28	0.1101	3.605551275	1.113943352	0.247208703	-1.213872487	3.870915912	1.175627475	5.291502622	1.447158031	0.3318132	-0.958212681
A1	G	13	0.114564	11.05015	22	0.1545	3.605551275	1.113943352	0.338473042	-0.940951831	3.32417659	1.043368173	4.69041576	1.342422681	0.39306488	-0.811071516
A1	G	16	0.059629455	16.47291	21	0.0647	4	1.204119983	0.244191431	-1.22453916	4.058683284	1.216770326	4.582575695	1.322219295	0.254361947	-1.189095719
A1	G	15	0.091923833	12.60872	21	0.1209	3.872983346	1.176091259	0.303189434	-1.036571875	3.550875948	1.100671001	4.582575695	1.322219295	0.347706773	-0.917573699
A1	G	13	0.114750857	13.21372	21	0.1222	3.605551275	1.113943352	0.338748959	-0.940244062	3.635068087	1.1210251	4.582575695	1.322219295	0.349571166	-0.912928794
A1	G	16	0.057108364	15.27499	21	0.0916	4	1.204119983	0.238973563	-1.243300281	3.90832317	1.183980935	4.582575695	1.322219295	0.302654919	-1.038104526
A1	G	17	0.0562465	13.97538	21	0.079	4.123105626	1.230448921	0.237163446	-1.249904497	3.738365953	1.145363625	4.582575695	1.322219295	0.281069386	-1.102372909
A1	G	20	0.031090857	16.10292	29	0.0795	4.472135955	1.301029996	0.176325996	-1.507367307	4.012844378	1.206904635	5.385164807	1.462397998	0.281957444	-1.099632871
A1	G	16	0.041605091	13.21372	21	0.0957	4	1.204119983	0.203973261	-1.380853524	3.635068087	1.1210251	4.582575695	1.322219295	0.309354166	-1.019088062
A1	G	20	0.041496571	15.21639	21	0.0749	4.472135955	1.301029996	0.203707072	-1.381987789	3.900819145	1.182311631	4.582575695	1.322219295	0.273678644	-1.125518182
A1	G	20	0.055344714	12.60872	21	0.0954	4.472135955	1.301029996	0.235254573	-1.256923852	3.550875948	1.100671001	4.582575695	1.322219295	0.308868904	-1.020451625
A2	A	17	0.0370929	NA	NA	NA	4.123105626	1.230448921	0.192595171	-1.430709211	NA	NA	NA	NA	NA	NA
A2	A	17	0.0529177	18.80792	28	0.0896	4.123105626	1.230448921	0.230038475	-1.27639904	4.336809887	1.274340769	5.291502622	1.447158031	0.299332591	-1.04769199
A2	A	14	0.053568462	18.80792	28	0.0717	3.741657387	1.146128036	0.231448616	-1.271090822	4.336809887	1.274340769	5.291502622	1.447158031	0.267768557	-1.144480844
A2	A	12	0.117156733	15.78282	28	0.1394	3.464101615	1.079181246	0.342281657	-0.931232747	3.972759746	1.198184604	5.291502622	1.447158031	0.373363094	-0.855737226
A2	A	20	0.028973714	26.87942	34	0.0188	4.472135955	1.301029996	0.170216668	-1.537995831	5.184536623	1.429419893	5.830951895	1.531478917	0.137113092	-1.725842151
A2	A	11	0.116353625	13.30515	28	0.2415	3.31662479	1.041392685	0.341106472	-0.934220082	3.647622513	1.124019775	5.291502622	1.447158031	0.491426495	-0.617082865
A2	A	20	0.012462429	18.81694	28	0.051	4.472135955	1.301029996	0.11163525	-1.904397303	4.337849698	1.274549	5.291502622	1.447158031	0.225831796	-1.292429824
A2	A	12	0.091271667	16.46153	28	0.1116	3.464101615	1.079181246	0.302112011	-1.039664017	4.057281109	1.216470198	5.291502622	1.447158031	0.334065862	-0.952335805
A2	A	15	0.0078875	20.75335	35	0.0076	3.872983346	1.176091259	0.088811598	-2.103060628	4.555584485	1.31708821	5.916079783	1.544068044	0.087177979	-2.119186408
A2	A	9	0.1277925	14.98399	28	0.1663	3	0.954242509	0.357480769	-0.893494634	3.870915912	1.175627475	5.291502622	1.447158031	0.40779897	-0.779107751
A2	A	12	0.080119133	13.97538	21	0.1082	3.464101615	1.079181246	0.283053234	-1.096263759	3.738365953	1.145363625	4.582575695	1.322219295	0.328937684	-0.965772739
A2	A	12	0.067399667	13.30515	28	0.153	3.464101615	1.079181246	0.259614458	-1.171342249	3.647622513	1.124019775	5.291502622	1.447158031	0.391152144	-0.815308569
A2	A	14	0.058883385	15.56639	26	0.1234	3.741657387	1.146128036	0.242658989	-1.230007232	3.945426466	1.192187907	5.099019514	1.414973348	0.351283361	-0.90868484
A2	A	23	0.01836425	22.19074	28	0.0479	4.795831523	1.361727836	0.135514759	-1.736026804	4.71070483	1.346171785	5.291502622	1.447158031	0.218860686	-1.319664487
A2	A	13	0.058682857	19.02965	28	0.093	3.605551275	1.113943352	0.242245448	-1.231488751	4.362298706	1.279430801	5.291502622	1.447158031	0.304959014	-1.031517051
A2	A	20	0.032178571	21.21607	28	0.0657	4.472135955	1.301029996	0.179383865	-1.492433246	4.606090533	1.32666494	5.291502622	1.447158031	0.256320112	-1.18243463
A2	A	23	0.0200295	21.97063	34	0.0389	4.795831523	1.361727836	0.141525616	-1.698329892	4.687283862	1.34184251	5.830951895	1.531478917	0.197230829	-1.410050399
A2	A	13	0.063184714	13.09231	22	0.1302	3.605551275	1.113943352	0.251365698	-1.199387976	3.618329725	1.11701628	4.69041576	1.342422681	0.360832371	-0.885389016
A2	A	12	0.134353733	19.73097	28	0.1664	3.464101615	1.079181246	0.366542948	-0.871750262	4.44195565	1.295148436	5.291502622	1.447158031	0.407921561	-0.778846678
A2	A	20	0.011717286	23.33032	34	0.0492	4.472135955	1.301029996	0.108246413	-1.93117297	4.830146996	1.367920696	5.830951895	1.531478917	0.22181073	-1.308034897
A2	A	20	0.023656429	25.48077	34	0.0324	4.472135955	1.301029996	0.153806466	-1.626050813	5.047848056	1.406212548	5.830951895	1.531478917	0.18	-1.48945499
A2	A	10	0.105111176	13.9599	22	0.1286	3.16227766	1	0.324208538	-0.978351105	3.736294956	1.144882307	4.69041576	1.342422681	0.358608422	-0.890759031
A2	A	15	0.067996167	15.24598	28	0.1117	3.872983346	1.176091259	0.260760747	-1.167515568	3.904610096	1.183155346	5.291502622	1.447158031	0.334215499	-0.951946827
A2	A	9	0.107131167	19.5815	28	0.1912	3	0.954242509	0.327308978	-0.970084164	4.425098869	1.291845957	5.291502622	1.447158031	0.437264222	-0.718512112
A2	A	17	0.0370458	18.05296	28	0.071	4.123105626	1.230448921	0.192472855	-1.431261022	4.248877499	1.25654842	5.291502622	1.447158031	0.266458252	-1.148741651
