cross	cone	0	2	5	7	9	12	14	15	16	18	19	20	21	22	26	27	28	29	30	34	35
A	19	0	0	0	1	1	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4
A	45	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	3	3	3	3
A	18	0	0	0	0	0	0	1	1	1	2	2	2	3	3	3	3	3	4	4	4	4
A	32	0	0	0	0	0	0	1	2	2	2	2	3	3	3	3	3	3	4	4	4	4
A	4	0	0	0	0	0	0	0	1	0	1	1	1	2	2	2	3	3	3	3	4	4
A	15	0	0	0	0	0	1	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4
A	46	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	3	3	3	4	4
A	20	0	0	0	0	0	0	1	2	2	3	3	3	3	3	3	4	4	4	4	4	4
A	25	0	0	0	0	0	0	0	1	1	2	2	2	3	3	3	3	3	3	3	4	4
A	33	0	0	0	0	0	1	2	2	2	3	3	3	3	3	3	3	3	3	4	4	4
A	35	0	0	0	1	0	1	2	2	2	2	3	3	3	3	3	4	4	4	4	4	4
A	21	0	0	0	0	0	1	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4
A	10	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	3	3	3	3	4	4
A	48	0	0	0	0	0	0	1	1	1	2	2	2	3	3	3	3	4	4	4	4	4
A	38	0	0	0	0	0	0	0	1	1	2	3	3	3	3	3	3	4	4	4	4	4
A	47	0	0	0	0	0	0	1	2	2	2	2	3	3	3	3	3	4	4	4	4	4
A	28	0	0	0	1	0	2	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4
A	39	0	0	0	0	0	0	1	2	2	3	3	3	3	3	3	4	4	4	4	4	4
A	7	0	0	0	1	1	2	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4
A	11	0	0	0	0	0	1	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4
A	40	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	3	3	3	3	4	4
A	26	0	0	0	0	0	2	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4
A	17	0	0	0	0	0	2	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4
A	29	0	0	0	0	0	2	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4
A	37	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	3	3	3	3	4
A	9	0	0	0	0	0	1	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4
A	41	0	0	0	0	0	0	0	1	1	2	2	2	2	3	3	3	3	3	3	4	4
A	30	0	0	0	0	0	0	1	2	2	3	3	3	3	3	3	3	4	4	4	4	4
A	34	0	0	0	0	0	1	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4
A	1	0	0	0	0	0	1	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4
A	14	0	0	0	0	0	1	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4
A	5	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	3	3	3	4	4
A	8	0	0	0	1	1	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4
A	6	0	0	0	0	0	1	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4
A	44	0	0	0	0	0	0	1	1	1	2	2	2	3	3	3	3	4	4	4	4	4
A	23	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	3	3	3	3	4
A	27	0	0	0	0	0	0	1	1	2	3	3	3	3	3	3	4	4	4	4	4	4
A	3	0	0	0	0	0	0	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4
A	16	0	0	0	0	0	2	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4
A	13	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2
A	42	0	0	0	0	0	0	1	1	2	3	3	3	3	3	3	4	4	4	4	4	4
A	31	0	0	0	0	0	0	1	1	2	2	3	3	3	3	3	4	4	4	4	4	4
A	24	0	0	0	0	0	2	3	2	2	3	3	3	3	3	3	4	4	4	4	4	4
A	12	0	0	0	0	0	0	1	2	2	2	3	3	3	3	3	3	4	4	4	4	4
A	2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	3	3	3	3	3
A	36	0	0	0	0	0	1	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4
G	70	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	2	3	3	3	4
G	72	0	0	0	0	0	1	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4
G	66	0	0	0	0	0	1	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4
G	89	0	0	0	0	0	2	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4
G	69	0	0	0	1	1	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4
G	85	0	0	0	1	1	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4
G	79	0	0	0	0	0	1	2	3	3	3	3	3	3	3	3	3	4	4	4	4	4
